ID,translation_len,total_duration_translation,load_duration_translation,prompt_eval_count_translation,prompt_eval_duration_translation,eval_count_translation,eval_duration_translation,translation_time,configuration_len,total_duration_configuration,load_duration_configuration,prompt_eval_count_configuration,prompt_eval_duration_configuration,eval_count_configuration,eval_duration_configuration,configuration_time,number_of_objectives,Type
19,2484,4.632076248733333,5.238383333333333e-06,788,2.0785501666666666,705,2.5534729166666668,0:04:38,4309,7.312591804783334,4.67255e-06,919,2.4323989833333335,1315,4.8801334,07:19.0,6,4
20,2960,4.975736203283334,5.720983333333333e-06,790,2.0914729666666667,793,2.8842017,0:04:59,1474,3.886008673416667,4.756483333333333e-06,1007,2.691271,330,1.1946775333333333,03:53.0,4,1
21,1427,3.0083420753166665,6.2704e-06,786,2.0571973,266,0.9510699666666667,0:03:01,664,1.5865252964166667,4.440266666666666e-06,480,1.2577134333333333,96,0.3287633166666667,01:35.0,4,2
22,2322,3.93634200375,5.0218833333333334e-06,783,2.0753613333333334,516,1.8609261166666666,0:03:56,1346,2.9703312446333334,5.682633333333333e-06,730,1.9264332333333334,294,1.0438122833333334,02:58.0,3,1
23,2130,4.064056700966667,4.8203e-06,787,2.0874048333333333,548,1.9765927833333334,0:04:04,958,2.8022472396333336,4.561933333333334e-06,762,2.0051808166666665,224,0.7970097833333334,02:48.0,3,2
24,2643,4.773371403066666,5.561716666666666e-06,791,2.0786646166666665,738,2.694645566666667,0:04:46,1941,4.6750519232,4.7401666666666665e-06,952,2.5172922333333334,589,2.1577000666666666,04:41.0,2,3
25,2501,4.211319176716667,5.184233333333334e-06,785,2.092865466666667,587,2.1183984,0:04:13,2479,4.298934152916667,4.588816666666667e-06,801,2.1182638333333332,603,2.18059685,04:18.0,1,1
26,2308,4.3844478312,5.184033333333333e-06,789,2.0615008666666665,641,2.322889216666667,0:04:23,1293,3.5869095276,4.4280166666666665e-06,855,2.2747614166666668,366,1.3120827666666666,03:35.0,3,2
27,1865,3.7700812847,4.730816666666666e-06,786,2.0832722666666665,469,1.6867563,0:03:46,1747,3.4630399691,5.431766666666667e-06,683,1.8042633166666666,465,1.6587062833333333,03:28.0,8,2
28,1495,3.2296176758,5.9347e-06,788,2.1082794,314,1.1212842833333334,0:03:14,1304,2.35245126295,4.4824666666666665e-06,528,1.3993871166666667,271,0.9530133833333333,02:21.0,3,2
29,2421,4.008832880583333,4.861033333333333e-06,791,2.1066691,523,1.9021045833333334,0:04:01,1047,3.042656760083333,4.352783333333333e-06,738,1.9457374166666668,307,1.0968598,03:03.0,6,2
30,1658,3.7415184085333335,4.91405e-06,787,2.0864779666666666,456,1.6549784333333333,0:03:44,715,2.3192395726833333,4.475883333333333e-06,670,1.7747473166666667,155,0.5444418833333333,02:19.0,7,2
31,1997,3.8208915173,4.814533333333334e-06,788,2.09089285,481,1.7299450833333334,0:03:49,514,2.0710545062166665,4.591033333333333e-06,695,1.8299531666666666,70,0.24103778333333334,02:04.0,3,3
32,1637,3.485587562566667,5.08555e-06,788,2.0853073666666666,390,1.4002264,0:03:29,1204,2.6656350184333335,4.563183333333333e-06,604,1.5979058666666666,300,1.0676703166666666,02:40.0,4,2
33,1550,3.4245138317,4.8261e-06,795,2.1096781166666667,367,1.3147713666666667,0:03:25,1213,2.4953107549833335,4.4681666666666664e-06,581,1.5366881333333333,272,0.9585706833333333,02:30.0,4,5
34,1730,3.48164629735,4.871166666666667e-06,791,2.0788400333333334,391,1.4027470166666667,0:03:29,2620,3.8615266891833335,4.5073333333333334e-06,605,1.5887656666666667,634,2.2726997,03:52.0,3,2
35,2062,3.8775910647166665,5.24555e-06,793,2.08940755,496,1.7881190666666666,0:03:53,536,2.1241450229666667,4.68745e-06,710,1.8854134666666666,69,0.23867456666666667,02:07.0,5,5
36,3114,4.893917002933334,4.471966666666666e-06,792,2.1192150333333335,765,2.7746398833333332,0:04:54,1150,3.4282378240333333,4.6750333333333335e-06,979,2.6031004,229,0.8250678833333334,03:26.0,3,2
37,2158,4.070220361716666,4.876833333333333e-06,793,2.10699465,544,1.9631750333333333,0:04:04,1010,2.89003247255,4.51445e-06,758,1.9912040833333333,253,0.8987637,02:53.0,3,5
38,2681,4.358111613933334,4.861916666666667e-06,795,2.0922581,625,2.2658001166666666,0:04:21,1638,4.17836692595,4.624916666666666e-06,839,2.2163508666666667,534,1.9619481833333334,04:11.0,2,2
39,1808,3.7046064920333333,5.778733333333334e-06,791,2.1030809833333333,447,1.6014602,0:03:42,1791,3.4943616549,5.471983333333334e-06,661,1.72672145,492,1.7675658166666666,03:30.0,2,2
40,2565,4.2293618348,5.0169e-06,793,2.0928302333333333,590,2.1364707666666667,0:04:14,1416,3.2178250658166667,4.739566666666667e-06,804,2.1162638333333335,309,1.10150105,03:13.0,6,2
